# Time;running vehicles [#]
0.00;0.00
1.00;0.00
2.00;0.00
3.00;0.00
4.00;0.00
5.00;0.00
6.00;0.00
7.00;0.00
8.00;0.00
9.00;0.00
10.00;1.00
11.00;1.00
12.00;1.00
13.00;2.00
14.00;2.00
15.00;2.00
16.00;2.00
17.00;2.00
18.00;2.00
19.00;2.00
20.00;3.00
21.00;3.00
22.00;4.00
23.00;5.00
24.00;5.00
25.00;5.00
26.00;5.00
27.00;5.00
28.00;6.00
29.00;6.00
30.00;6.00
31.00;6.00
32.00;6.00
33.00;6.00
34.00;6.00
35.00;7.00
36.00;8.00
37.00;8.00
38.00;8.00
39.00;8.00
40.00;8.00
41.00;8.00
42.00;9.00
43.00;10.00
44.00;10.00
45.00;10.00
46.00;10.00
47.00;10.00
48.00;11.00
49.00;12.00
50.00;12.00
51.00;12.00
52.00;12.00
53.00;13.00
54.00;14.00
55.00;14.00
56.00;14.00
57.00;14.00
58.00;15.00
59.00;15.00
60.00;16.00
61.00;17.00
62.00;17.00
63.00;18.00
64.00;19.00
65.00;19.00
66.00;19.00
67.00;19.00
68.00;20.00
69.00;21.00
70.00;21.00
71.00;21.00
72.00;21.00
73.00;21.00
74.00;21.00
75.00;21.00
76.00;21.00
77.00;21.00
78.00;21.00
79.00;21.00
80.00;21.00
81.00;21.00
82.00;21.00
83.00;21.00
84.00;21.00
85.00;21.00
86.00;22.00
87.00;22.00
88.00;22.00
89.00;23.00
90.00;23.00
91.00;23.00
92.00;23.00
93.00;23.00
94.00;23.00
95.00;23.00
96.00;24.00
97.00;25.00
98.00;25.00
99.00;25.00
100.00;25.00
101.00;24.00
102.00;24.00
103.00;24.00
104.00;24.00
105.00;24.00
106.00;24.00
107.00;24.00
108.00;24.00
109.00;23.00
110.00;23.00
111.00;23.00
112.00;23.00
113.00;23.00
114.00;23.00
115.00;24.00
116.00;23.00
117.00;23.00
118.00;24.00
119.00;23.00
120.00;23.00
121.00;22.00
122.00;22.00
123.00;22.00
124.00;22.00
125.00;23.00
126.00;23.00
127.00;24.00
128.00;24.00
129.00;23.00
130.00;23.00
131.00;22.00
132.00;22.00
133.00;21.00
134.00;22.00
135.00;22.00
136.00;22.00
137.00;22.00
138.00;22.00
139.00;22.00
140.00;22.00
141.00;22.00
142.00;21.00
143.00;21.00
144.00;21.00
145.00;22.00
146.00;22.00
147.00;22.00
148.00;23.00
149.00;23.00
150.00;23.00
151.00;22.00
152.00;22.00
153.00;23.00
154.00;23.00
155.00;24.00
156.00;25.00
157.00;25.00
158.00;25.00
159.00;25.00
160.00;25.00
161.00;25.00
162.00;24.00
163.00;25.00
164.00;25.00
165.00;25.00
166.00;25.00
167.00;25.00
168.00;25.00
169.00;25.00
170.00;25.00
171.00;25.00
172.00;24.00
173.00;25.00
174.00;25.00
175.00;26.00
176.00;26.00
177.00;26.00
178.00;26.00
179.00;26.00
180.00;26.00
181.00;26.00
182.00;27.00
183.00;27.00
184.00;27.00
185.00;27.00
186.00;26.00
187.00;27.00
188.00;28.00
189.00;28.00
190.00;28.00
191.00;28.00
192.00;28.00
193.00;28.00
194.00;26.00
195.00;26.00
196.00;26.00
197.00;27.00
198.00;27.00
199.00;27.00
200.00;27.00
201.00;28.00
202.00;28.00
203.00;29.00
204.00;29.00
205.00;29.00
206.00;29.00
207.00;28.00
208.00;28.00
209.00;28.00
210.00;28.00
211.00;28.00
212.00;28.00
213.00;29.00
214.00;30.00
215.00;30.00
216.00;30.00
217.00;30.00
218.00;30.00
219.00;30.00
220.00;30.00
221.00;30.00
222.00;30.00
223.00;29.00
224.00;29.00
225.00;29.00
226.00;29.00
227.00;29.00
228.00;29.00
229.00;30.00
230.00;30.00
231.00;30.00
232.00;29.00
233.00;29.00
234.00;28.00
235.00;27.00
236.00;27.00
237.00;27.00
238.00;27.00
239.00;26.00
240.00;25.00
241.00;25.00
242.00;24.00
243.00;24.00
244.00;24.00
245.00;24.00
246.00;24.00
247.00;24.00
248.00;24.00
249.00;24.00
250.00;24.00
251.00;24.00
252.00;24.00
253.00;23.00
254.00;23.00
255.00;24.00
256.00;24.00
257.00;24.00
258.00;23.00
259.00;23.00
260.00;23.00
261.00;23.00
262.00;23.00
263.00;23.00
264.00;22.00
265.00;22.00
266.00;22.00
267.00;23.00
268.00;23.00
269.00;24.00
270.00;24.00
271.00;24.00
272.00;24.00
273.00;24.00
274.00;24.00
275.00;25.00
276.00;25.00
277.00;26.00
278.00;26.00
279.00;26.00
280.00;26.00
281.00;26.00
282.00;26.00
283.00;25.00
284.00;25.00
285.00;24.00
286.00;24.00
287.00;24.00
288.00;25.00
289.00;25.00
290.00;24.00
291.00;24.00
292.00;24.00
293.00;24.00
294.00;24.00
295.00;23.00
296.00;23.00
297.00;22.00
298.00;22.00
299.00;22.00
300.00;22.00
301.00;22.00
302.00;22.00
303.00;22.00
304.00;22.00
305.00;22.00
306.00;22.00
307.00;22.00
308.00;22.00
309.00;23.00
310.00;23.00
311.00;23.00
312.00;24.00
313.00;24.00
314.00;24.00
315.00;25.00
316.00;25.00
317.00;25.00
318.00;25.00
319.00;25.00
320.00;26.00
321.00;27.00
322.00;27.00
323.00;26.00
324.00;26.00
325.00;26.00
326.00;26.00
327.00;25.00
328.00;24.00
329.00;24.00
330.00;23.00
331.00;23.00
332.00;23.00
333.00;22.00
334.00;23.00
335.00;21.00
336.00;22.00
337.00;21.00
338.00;20.00
339.00;19.00
340.00;19.00
341.00;20.00
342.00;20.00
343.00;19.00
344.00;19.00
345.00;20.00
346.00;21.00
347.00;21.00
348.00;21.00
349.00;21.00
350.00;22.00
351.00;21.00
352.00;21.00
353.00;21.00
354.00;21.00
355.00;19.00
356.00;19.00
357.00;19.00
358.00;19.00
359.00;19.00
360.00;19.00
361.00;19.00
362.00;20.00
363.00;21.00
364.00;21.00
365.00;21.00
366.00;21.00
367.00;21.00
368.00;21.00
369.00;22.00
370.00;22.00
371.00;23.00
372.00;23.00
373.00;23.00
374.00;23.00
375.00;22.00
376.00;22.00
377.00;22.00
378.00;22.00
379.00;22.00
380.00;22.00
381.00;22.00
382.00;22.00
383.00;22.00
384.00;22.00
385.00;22.00
386.00;22.00
387.00;23.00
388.00;23.00
389.00;22.00
390.00;22.00
391.00;22.00
392.00;22.00
393.00;21.00
394.00;21.00
395.00;21.00
396.00;21.00
397.00;21.00
398.00;22.00
399.00;22.00
400.00;21.00
401.00;21.00
402.00;21.00
403.00;21.00
404.00;21.00
405.00;20.00
406.00;21.00
407.00;20.00
408.00;20.00
409.00;20.00
410.00;20.00
411.00;20.00
412.00;20.00
413.00;20.00
414.00;20.00
415.00;20.00
416.00;20.00
417.00;18.00
418.00;19.00
419.00;19.00
420.00;19.00
421.00;19.00
422.00;19.00
423.00;19.00
424.00;19.00
425.00;19.00
426.00;18.00
427.00;18.00
428.00;18.00
429.00;18.00
430.00;18.00
431.00;18.00
432.00;17.00
433.00;17.00
434.00;16.00
435.00;16.00
436.00;16.00
437.00;16.00
438.00;16.00
439.00;16.00
440.00;16.00
441.00;16.00
442.00;16.00
443.00;16.00
444.00;15.00
445.00;15.00
446.00;16.00
447.00;16.00
448.00;16.00
449.00;17.00
450.00;17.00
451.00;17.00
452.00;17.00
453.00;18.00
454.00;18.00
455.00;16.00
456.00;16.00
457.00;17.00
458.00;16.00
459.00;16.00
460.00;16.00
461.00;16.00
462.00;16.00
463.00;16.00
464.00;16.00
465.00;16.00
466.00;16.00
467.00;16.00
468.00;16.00
469.00;16.00
470.00;16.00
471.00;16.00
472.00;15.00
473.00;15.00
474.00;15.00
475.00;15.00
476.00;16.00
477.00;16.00
478.00;16.00
479.00;16.00
480.00;16.00
481.00;16.00
482.00;16.00
483.00;16.00
484.00;17.00
485.00;16.00
486.00;17.00
487.00;17.00
488.00;17.00
489.00;17.00
490.00;17.00
491.00;17.00
492.00;17.00
493.00;17.00
494.00;16.00
495.00;15.00
496.00;15.00
497.00;15.00
498.00;15.00
499.00;15.00
500.00;15.00
501.00;15.00
502.00;14.00
503.00;14.00
504.00;14.00
505.00;14.00
506.00;14.00
507.00;15.00
508.00;16.00
509.00;16.00
510.00;16.00
511.00;16.00
512.00;16.00
513.00;16.00
514.00;17.00
515.00;17.00
516.00;18.00
517.00;18.00
518.00;18.00
519.00;18.00
520.00;18.00
521.00;18.00
522.00;18.00
523.00;17.00
524.00;17.00
525.00;17.00
526.00;17.00
527.00;17.00
528.00;17.00
529.00;16.00
530.00;14.00
531.00;15.00
532.00;16.00
533.00;16.00
534.00;16.00
535.00;16.00
536.00;16.00
537.00;16.00
538.00;16.00
539.00;16.00
540.00;17.00
541.00;17.00
542.00;17.00
543.00;17.00
544.00;16.00
545.00;17.00
546.00;17.00
547.00;17.00
548.00;17.00
549.00;18.00
550.00;19.00
551.00;20.00
552.00;20.00
553.00;20.00
554.00;20.00
555.00;20.00
556.00;20.00
557.00;20.00
558.00;20.00
559.00;20.00
560.00;20.00
561.00;21.00
562.00;21.00
563.00;21.00
564.00;21.00
565.00;21.00
566.00;21.00
567.00;21.00
568.00;21.00
569.00;21.00
570.00;21.00
571.00;20.00
